Convert From	Convert To	Exchange Rate	More Info
US Dollar (USD)	United Arab Emirates Dirham (AED)	1 USD to AED = 3.673	USD AED on 01/12/2018
US Dollar (USD)	Albanian Lek (ALL)	1 USD to ALL = 109.7553	USD ALL on 01/12/2018
US Dollar (USD)	Neth Antilles Guilder (ANG)	1 USD to ANG = 1.7754	USD ANG on 01/12/2018
US Dollar (USD)	Argentine Peso (ARS)	1 USD to ARS = 37.7315	USD ARS on 01/12/2018
US Dollar (USD)	Australian Dollar (AUD)	1 USD to AUD = 1.3672	USD AUD on 01/12/2018
US Dollar (USD)	Aruba Florin (AWG)	1 USD to AWG = 1.7999	USD AWG on 01/12/2018
US Dollar (USD)	Barbadian Dollar (BBD)	1 USD to BBD = 1.9999	USD BBD on 01/12/2018
US Dollar (USD)	Bangladesh Taka (BDT)	1 USD to BDT = 84.1851	USD BDT on 01/12/2018
US Dollar (USD)	Bulgarian Lev (BGN)	1 USD to BGN = 1.7281	USD BGN on 01/12/2018
US Dollar (USD)	Bahraini Dinar (BHD)	1 USD to BHD = 0.377	USD BHD on 01/12/2018
US Dollar (USD)	Burundi Franc (BIF)	1 USD to BIF = 1792.563	USD BIF on 01/12/2018
US Dollar (USD)	Bermuda Dollar (BMD)	1 USD to BMD = 1	USD BMD on 01/12/2018
US Dollar (USD)	Brunei Dollar (BND)	1 USD to BND = 1.5759	USD BND on 01/12/2018
US Dollar (USD)	Bolivian Boliviano (BOB)	1 USD to BOB = 6.9121	USD BOB on 01/12/2018
US Dollar (USD)	Brazilian Real (BRL)	1 USD to BRL = 3.8672	USD BRL on 01/12/2018
US Dollar (USD)	Bahamian Dollar (BSD)	1 USD to BSD = 1	USD BSD on 01/12/2018
US Dollar (USD)	Bhutan Ngultrum (BTN)	1 USD to BTN = 69.9507	USD BTN on 01/12/2018
US Dollar (USD)	Belize Dollar (BZD)	1 USD to BZD = 2.0163	USD BZD on 01/12/2018
US Dollar (USD)	Canadian Dollar (CAD)	1 USD to CAD = 1.3296	USD CAD on 01/12/2018
US Dollar (USD)	Swiss Franc (CHF)	1 USD to CHF = 0.9984	USD CHF on 01/12/2018
US Dollar (USD)	Chilean Peso (CLP)	1 USD to CLP = 674.874	USD CLP on 01/12/2018
US Dollar (USD)	Chinese Yuan (CNY)	1 USD to CNY = 6.9588	USD CNY on 01/12/2018
US Dollar (USD)	Colombian Peso (COP)	1 USD to COP = 3254.2722	USD COP on 01/12/2018
US Dollar (USD)	Costa Rica Colon (CRC)	1 USD to CRC = 601.1324	USD CRC on 01/12/2018
US Dollar (USD)	Czech Koruna (CZK)	1 USD to CZK = 22.9453	USD CZK on 01/12/2018
US Dollar (USD)	Danish Krone (DKK)	1 USD to DKK = 6.5934	USD DKK on 01/12/2018
US Dollar (USD)	Dominican Peso (DOP)	1 USD to DOP = 50.043	USD DOP on 01/12/2018
US Dollar (USD)	Algerian Dinar (DZD)	1 USD to DZD = 118.8367	USD DZD on 01/12/2018
US Dollar (USD)	Egyptian Pound (EGP)	1 USD to EGP = 17.9113	USD EGP on 01/12/2018
US Dollar (USD)	Ethiopian Birr (ETB)	1 USD to ETB = 28.1642	USD ETB on 01/12/2018
US Dollar (USD)	Euro (EUR)	1 USD to EUR = 0.8833	USD EUR on 01/12/2018
US Dollar (USD)	Fiji Dollar (FJD)	1 USD to FJD = 2.1133	USD FJD on 01/12/2018
US Dollar (USD)	British Pound (GBP)	1 USD to GBP = 0.7841	USD GBP on 01/12/2018
US Dollar (USD)	Gambian Dalasi (GMD)	1 USD to GMD = 49.4931	USD GMD on 01/12/2018
US Dollar (USD)	Guinea Franc (GNF)	1 USD to GNF = 9137.444	USD GNF on 01/12/2018
US Dollar (USD)	Guatemala Quetzal (GTQ)	1 USD to GTQ = 7.7339	USD GTQ on 01/12/2018
US Dollar (USD)	Hong Kong Dollar (HKD)	1 USD to HKD = 7.8236	USD HKD on 01/12/2018
US Dollar (USD)	Honduras Lempira (HNL)	1 USD to HNL = 24.384	USD HNL on 01/12/2018
US Dollar (USD)	Croatian Kuna (HRK)	1 USD to HRK = 6.5295	USD HRK on 01/12/2018
US Dollar (USD)	Haiti Gourde (HTG)	1 USD to HTG = 73.7295	USD HTG on 01/12/2018
US Dollar (USD)	Hungarian Forint (HUF)	1 USD to HUF = 285.9137	USD HUF on 01/12/2018
US Dollar (USD)	Indonesian Rupiah (IDR)	1 USD to IDR = 14330.4526	USD IDR on 01/12/2018
US Dollar (USD)	Israeli Sheqel (ILS)	1 USD to ILS = 3.7211	USD ILS on 01/12/2018
US Dollar (USD)	Indian Rupee (INR)	1 USD to INR = 69.6475	USD INR on 01/12/2018
US Dollar (USD)	Iraqi Dinar (IQD)	1 USD to IQD = 1198.8716	USD IQD on 01/12/2018
US Dollar (USD)	Iran Rial (IRR)	1 USD to IRR = 42496.2342	USD IRR on 01/12/2018
US Dollar (USD)	Icelandic Krona (ISK)	1 USD to ISK = 123.1752	USD ISK on 01/12/2018
US Dollar (USD)	Jamaican Dollar (JMD)	1 USD to JMD = 126.735	USD JMD on 01/12/2018
US Dollar (USD)	Jordanian Dinar (JOD)	1 USD to JOD = 0.7095	USD JOD on 01/12/2018
US Dollar (USD)	Japanese Yen (JPY)	1 USD to JPY = 113.4941	USD JPY on 01/12/2018
